item_id,image_url,golden,predictions
220519066,https://i5.walmartimages.com/asr/0ab9330f-2e40-430b-90c4-69b939b6299b.cfbb82614e37b4e8c220b09e752f6d4e.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['Wheel Tool', 'Pilates Ring']","['grip pilates', 'body pilates', 'exercise kit', 'pilates ring']"
437667839,,"['Lingerie', 'Sling Top', 'Underpants']","['lingerie set', 'underpants sex', 'underpants']"
885696303,https://i5.walmartimages.com/asr/ea425216-6386-4e85-aa45-64627c6c0887_1.e4caf6b900e8fca811a57d60ebc3c6dc.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['LVDS Cable Model E480518'],"['cable', 'lvds cable']"
753510179,https://i5.walmartimages.com/asr/2b7f4596-b98f-4264-80a9-88b2df716b00.fb4a55f82da1f24343f17a71076d0357.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['Storage Basket', 'Mainstays Decorative Storage Basket']","['perfect for storing all kinds', 'shelves', 'basket', 'decorative storage', 'baskets', 'decorative']"
491527120,https://i5.walmartimages.com/asr/e1930a31-a27d-44dc-a04f-a4584cdd6161_1.57f0d6b518382c1096b48651ecb2ed60.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['Key Chain', 'Yamaha New OEM Floating Boat PWC Key Chain Registration Holder']","['boat pwc', 'chain registration', 'registration']"
797290729,https://i5.walmartimages.com/asr/6d6e42c5-1c25-4af9-abf9-b7b766ef689c.b72903f0d3a0bc2427775cc04d0c4f08.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,[],['lancelle']
250600157,,[],['caftano']
597580055,https://i5.walmartimages.com/asr/fbf3280d-02e5-4554-88dd-4f6c2e5b1929.c23e15b78a895b743b8de2e11fcf01e5.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['Layette'],"['layette', 'perfect baby', 'flowers']"
125233298,https://i5.walmartimages.com/asr/cab8b2e6-23cc-434a-940c-60f6a5d42b5a_1.d06ea4454723e37aa4bf8933430d9a03.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,"['Tassel Trim', 'Fiber']","['fiber onion', 'tassel']"
701013371,https://i5.walmartimages.com/asr/967a9f64-a040-49ea-8d23-e0a3e23855fa_1.9d64e3130724a074f9c9172b74ffbced.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,['Round Clavo'],"['face', 'cherub face', 'clavo']"
565048413,https://i5.walmartimages.com/asr/725462c9-071b-4f23-81c5-3921da3b7d10_1.ba48c9be949ccbda1407bad5b8754724.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['Arlo Baby Kitten Accessory'],"['accessory', 'kitten accessory']"
257502945,https://i5.walmartimages.com/asr/b2d5211f-f36d-4455-bd8b-e0177c3c6e78.fc52968b847a5d8ab13de1922e848400.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,['Chain Guide'],"['guide', 'chain guide']"
935733014,,['footwear'],"['whiskey smooth', 'whiskey']"
555601077,https://i5.walmartimages.com/asr/e2648306-0c64-4e7e-9078-a7728c3fce19_1.2a2b05c76f0ea684f05dd88b377e992f.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,"['Court Records', 'book', 'Transcript']",['distilleries']
986548373,https://i5.walmartimages.com/asr/53cbd6f5-3ede-425e-ba97-77ecb701b7d4.a1e5f0c5b120bff578d3fedc2deec528.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['Tortugas Logo quarter-zip jacket', 'Army Black Knights Colosseum Tortugas Logo Quarter-Zip Jacket']",['jacket']
412111734,https://i5.walmartimages.com/asr/d8a8521d-d366-4694-a9af-1713022a295f_1.57581942f1697d4b239fa8fd5ecece44.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,['Shawl'],"['shawl', 'shawls are madeuniquely', 'shawls']"
603573781,https://i5.walmartimages.com/asr/01d49d62-527c-431d-ac31-04cd15748c70_1.d8f6a6f2c4d4f3257d85e26763b59d34.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,"['Photo Print', 'Hakeem Nicks Touchdown Catch 2011 NFC Wild Card Playoff Action Photo Print']",['wild card']
249839375,,"['Decorative Pillows Covers', 'Cushion Pillowcases']","['covers sofa', 'pillows', 'pillows covers', 'pillow', 'throw pillows', 'cushion', 'throw pillow covers', 'cushion covers']"
42449311,https://i5.walmartimages.com/asr/c4d8701c-667b-476c-8cf8-de9a6fa5444f_2.588323b2bd1f2b789f2f31e3a0f11bc0.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['storage bag'],"['tree storage', 'bag', 'storage bag']"
708854045,https://i5.walmartimages.com/asr/d3952d76-d6e1-41f6-9e45-8fa10cde4abe_1.4e976b9e82a60d212865edf94dc8130c.png?odnWidth=612&odnHeight=612&odnBg=ffffff,['Rye'],"['malt crystal', 'hops chinook']"
411673282,https://i5.walmartimages.com/asr/fdfa56b4-cfc3-4665-a471-bbc7c7ad29a1_1.df0aefe35e043f78f97e40ad09b5c3b9.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['vented lid', 'plastic replacement lids', 'lids']","['lids cover', 'mug']"
938389831,,"['training tights', 'active tights', 'Tight  Athletic Pants']","['shorts', 'tights']"
460999873,https://i5.walmartimages.com/asr/fbb2475e-4f70-468f-8a41-aeef073cfa66_1.7c16f8a83b9496973ece0cd869096d8c.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,['TV Wall Mount'],"['tv wall mount', 'tv wall mount supports', 'mount']"
182326151,https://i5.walmartimages.com/asr/b68fdbe3-c9bf-4a08-a762-71b807fef326_1.f8e6f47966cadc96f5331bde6293f0e5.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,['Wood Sign'],['feel too']
527887359,https://i5.walmartimages.com/asr/e925f521-6408-4264-8ca6-f899a370703e.7c89ef876e01174ba8d5eb2ff6e98940.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,"['Voticandles', 'candles']","['brite-lite', 'brite lite', 'voticandles']"
155964989,https://i5.walmartimages.com/asr/f334fc36-fcf4-4b51-b95d-74738c2ecc67.2d62be6a90345c13ca57c72102d7691f.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,['Wand Tilt Control Horizontal Blind Parts'],"['blind parts', 'parts wand', 'wand tilter', 'blind parts wand tilter', 'blinds wand tilt control', 'blinds wand', 'blind parts wand']"
996343523,https://i5.walmartimages.com/asr/ae179974-664d-4fd8-b795-593bcd98a1ce.1905fa1db3204764f95e4159a0858b32.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,['Deep Cleansing Bar'],"['cleansing bar pack', 'cleansing', 'cleansing bar']"
791726345,https://i5.walmartimages.com/asr/2110f90b-fe72-4503-8b55-f1253a84e03f_1.dc2da5affca924c6f251c774acea0629.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,"['Kickstand', 'Grip', 'Ring Holder Stand']","['holder stand', 'stand grip', 'ring holder', 'kickstand swivel']"
440604651,https://i5.walmartimages.com/asr/28574a47-9165-4131-a006-4a7ca49e51e6_1.307099db32f683056ef98c062c6fdec9.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,"['power and av cables bundle', 'audio video and ac power cord set']","['ps', 'av cables', 'power and av cables', 'playstation']"
233741376,https://i5.walmartimages.com/asr/90f3df5f-18ec-4f1a-903a-b8747686e448_1.06e64b1c4815e1f01fe10b8b5d73213a.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['Glitter heel'],"['ankle s', 'ankle']"
11835918,https://i5.walmartimages.com/asr/bf15b48c-ebe9-4ef2-ad1b-5086464c269d_1.adbd7c58c5ac71ab7273ea1ea52880bf.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['Business Integration Adapter'],"['adapter', 'integration', 'integration adapter', 'sap exchange', 'websphere', 'business integration adapter', 'sap']"
618770141,https://i5.walmartimages.com/asr/5a68112a-96e3-46bf-a849-22365701b514.c9e82383c56bc2c54a199fa82291b554.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['Power Botton Model CNCK60043A1'],"['tv model', 'power']"
874256229,https://i5.walmartimages.com/asr/d6c372a8-dd68-4829-be4f-ed377f8cd136_1.213fc9913ac862c0419bc2c5738327ab.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff,"['Flag Set', 'Garden Flag Set']","['decor', 'Garden Flags', 'breeze', 'garden flag']"
682987450,https://i5.walmartimages.com/asr/02eaad68-ae89-4c85-9add-d8a276770c50.bff5138315984b2869586c05f75a33da.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,['LED Light'],"['tv model', 'light', 'tv']"
258317898,https://i5.walmartimages.com/asr/7263c78a-236a-472a-92a4-cb8acc22bbd4_1.480023254b9f23136609fa41c9461be7.jpeg?odnWidth=undefined&odnHeight=undefined&odnBg=ffffff,"['Light Clip', 'Shingle Clip', 'Gutter Clip']","['christmas lights', 'string lights', 'lighting', 'christmas light']"
